Código;Mídias Favoritas
3;46,11,32,46,21,34,33,31,10,47,8,8,50,31,8,14
9;41,36,20,49,18,17,35,23,28,34,22,38
13;39,30,23,10,15,33,17,45,41,43,47,38,42,38,18,41,5,46
15;7,8,12,33,46
23;43,12,28,27,19,3,50,41,37,13,45
25;10,9,12,25,38,5,41,48,8,3,29,9,4,12,1,43,50
27;
28;14,49,39,46,24,44,49,5,45,31,49,14,13,17,4,44
30;31,28,33,22,24,37,22,21
31;3,41,22,26,17,15,50
32;37,41,17,40,2,35,13,12,48,21,49,22,19,38,6,35,16
34;6,3,46,39,34,42,45,50,38,39,1,14
35;28,27,2,19,17,11,13,28,26,16,8,28,8,34,10,30,4,35,46
45;41,9
50;36,27
